id,name,,parent_id,icon,created_at,updated_at
76,Nervous System,nervous-system,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
77,Neuroscience,neuroscience,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
78,Nutrition,nutrition,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
79,Pathophysiology,pathophysiology,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
80,Physical Chemistry,physical-chemistry,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
81,Physiology,physiology,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
82,Salmon,salmon,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
83,Stem,stem,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
84,Synthetic Biology,synthetic-biology,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
85,Viruses,viruses,45,,2026-05-15 08:15:35,2026-05-15 08:15:35
86,Business Administration,business-administration,,,2026-05-15 08:15:35,2026-05-15 08:15:35
87,Accounting,accounting,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
88,Agile,agile,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
89,Agile Project Management,agile-project-management,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
90,Bookkeeping,bookkeeping,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
91,Business Analysis,business-analysis,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
92,Business Analytics,business-analytics,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
93,Business Communications,business-communications,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
94,Business Development,business-development,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
95,Business Law,business-law,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
96,Business Model,business-model,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
97,Business Plan,business-plan,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
98,Business Skills,business-skills,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
99,Business Strategy,business-strategy,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
100,Ceo,ceo,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
101,Change Management,change-management,86,,2026-05-15 08:15:35,2026-05-15 08:15:35
